IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/34B,,"domestic animals, kept in and outside the house"
http://iconclass.org/34C,,protection of animals
http://iconclass.org/34D,,control and eradication of injurious animals
http://iconclass.org/34E,,restraint of animals
http://iconclass.org/34F,,man and (wild) animal
http://iconclass.org/34G,,man disguised as animal
http://iconclass.org/36A,🏞️✅,"environmental conservation, protection"
http://iconclass.org/36B,🏞️🔥,environmental destruction
http://iconclass.org/41A,🏘️,housing
http://iconclass.org/41B,,"heating, lighting, ventilating"
http://iconclass.org/41C,,"nutrition, nourishment"
http://iconclass.org/41D,👚👜,"fashion, clothing"
http://iconclass.org/41E,,still life of miscellaneous objects
http://iconclass.org/42A,,"procreation, birth and (early) youth"
http://iconclass.org/42B,,parents with their children
http://iconclass.org/42C,,period of adolescence
http://iconclass.org/42D,💒💍,betrothal and marriage
http://iconclass.org/42E,,burial rites
http://iconclass.org/42F,,household management; housewife at work
http://iconclass.org/42G,👪🧬,"family, relationship, descent"
http://iconclass.org/42Z,👪🤷,exotic and non-monogamous family forms
http://iconclass.org/43A,🎉,festivities
http://iconclass.org/43B,,recreation
http://iconclass.org/43C,⚽,"sports, games and physical performances"
http://iconclass.org/43D,,other leisure time activities
http://iconclass.org/44A,,symbols of the state (in general)
http://iconclass.org/44B,🏳️⚖️,"government, the State; 'Politica', 'Auttorità o Potestà' (Ripa)"
http://iconclass.org/44C,,the citizen and his rights
http://iconclass.org/44D,,administrative bodies
http://iconclass.org/44E,,"government services, public services"
http://iconclass.org/44F,♻️❗,"revolution, revolt"
http://iconclass.org/44G,⚖️📜,law and jurisprudence
http://iconclass.org/45A,⚔️🕊️,war and peace
http://iconclass.org/45B,💂📅,the soldier; the soldier's life
http://iconclass.org/45C,,(military) equipment and supply
http://iconclass.org/45D,🎖️,insignia; division of armed forces; ranks
http://iconclass.org/45E,📡🚆,communication and transport
http://iconclass.org/45F,,preparation for battle
http://iconclass.org/45G,,defensive measures (military)
http://iconclass.org/45H,,"battle, fighting in general"
http://iconclass.org/45I,,after the battle
http://iconclass.org/45K,,"siege, position war"
http://iconclass.org/45L,,occupation ~ war
http://iconclass.org/45M,,non-combatants ~ war
http://iconclass.org/46A,,communal life
http://iconclass.org/46B,,"trade, commerce and finance"
http://iconclass.org/46C,🚗🚌🚆,traffic and transport
http://iconclass.org/46D,📰🤔,"press, journalism"
http://iconclass.org/46E,☎️✉️,"post, telegraph and telephone; means of communication"
http://iconclass.org/470,,"'Artes Mechanicae' (Lanificium, Armatura, Navigatio, Agricultura, Venatio, Medicina, Theatrica)"
http://iconclass.org/47A,,industrial structures
http://iconclass.org/47B,,handicrafts and industries
http://iconclass.org/47C,,"industrial processes, handling of materials"
http://iconclass.org/47D,⚙️,machines; parts of machines; tools and appliances
http://iconclass.org/47E,,organization of craft and industry
http://iconclass.org/47F,,before and after production
http://iconclass.org/47G,🏗️,building activities
http://iconclass.org/47H,🧵👗🏭,textile industry and clothing industry
http://iconclass.org/47I,🚜,"agriculture, cattle-breeding, horticulture, flowerculture, etc."
http://iconclass.org/47K,🎣🏭,commercial fishery
http://iconclass.org/47L,🚢🏭,shipbuilding industry
http://iconclass.org/480,,"symbolic representations, allegories and emblems ~ art; 'Arte' (Ripa)"
http://iconclass.org/48A,,art and the public; styles and ornaments
http://iconclass.org/48B,👨‍🎨,artist (in general)
http://iconclass.org/48C,,the arts; artists
http://iconclass.org/49A,👨‍🏫,education
http://iconclass.org/49B,🏫,"scholastic education, tuition"
http://iconclass.org/49C,,aspects of science in general
http://iconclass.org/49D,🧮,mathematics
http://iconclass.org/49E,🔬,science and technology
http://iconclass.org/49F,🧬,biology
